Title, price, url, img
"A Light in the Attic", £51.77, http://books.toscrape.coma-light-in-the-attic_1000/index.html, http://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
"Tipping the Velvet", £53.74, http://books.toscrape.comtipping-the-velvet_999/index.html, http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
"Soumission", £50.10, http://books.toscrape.comsoumission_998/index.html, http://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
"Sharp Objects", £47.82, http://books.toscrape.comsharp-objects_997/index.html, http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
"Sapiens: A Brief History of Humankind", £54.23, http://books.toscrape.comsapiens-a-brief-history-of-humankind_996/index.html, http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
"The Requiem Red", £22.65, http://books.toscrape.comthe-requiem-red_995/index.html, http://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
"The Dirty Little Secrets of Getting Your Dream Job", £33.34, http://books.toscrape.comthe-dirty-little-secrets-of-getting-your-dream-job_994/index.html, http://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull", £17.93, http://books.toscrape.comthe-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html, http://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics", £22.60, http://books.toscrape.comthe-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html, http://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
"The Black Maria", £52.15, http://books.toscrape.comthe-black-maria_991/index.html, http://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)", £13.99, http://books.toscrape.comstarving-hearts-triangular-trade-trilogy-1_990/index.html, http://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
"Shakespeare's Sonnets", £20.66, http://books.toscrape.comshakespeares-sonnets_989/index.html, http://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
"Set Me Free", £17.46, http://books.toscrape.comset-me-free_988/index.html, http://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)", £52.29, http://books.toscrape.comscott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html, http://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
"Rip it Up and Start Again", £35.02, http://books.toscrape.comrip-it-up-and-start-again_986/index.html, http://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991", £57.25, http://books.toscrape.comour-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html, http://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
"Olio", £23.88, http://books.toscrape.comolio_984/index.html, http://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
"Mesaerion: The Best Science Fiction Stories 1800-1849", £37.59, http://books.toscrape.commesaerion-the-best-science-fiction-stories-1800-1849_983/index.html, http://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
"Libertarianism for Beginners", £51.33, http://books.toscrape.comlibertarianism-for-beginners_982/index.html, http://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
"It's Only the Himalayas", £45.17, http://books.toscrape.comits-only-the-himalayas_981/index.html, http://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
"In Her Wake", £12.84, http://books.toscrape.comin-her-wake_980/index.html, http://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg
"How Music Works", £37.32, http://books.toscrape.comhow-music-works_979/index.html, http://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More", £30.52, http://books.toscrape.comfoolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html, http://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg
"Chase Me (Paris Nights #2)", £25.27, http://books.toscrape.comchase-me-paris-nights-2_977/index.html, http://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg
"Black Dust", £34.53, http://books.toscrape.comblack-dust_976/index.html, http://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg
"Birdsong: A Story in Pictures", £54.64, http://books.toscrape.combirdsong-a-story-in-pictures_975/index.html, http://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg
"America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana", £22.50, http://books.toscrape.comamericas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html, http://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg
"Aladdin and His Wonderful Lamp", £53.13, http://books.toscrape.comaladdin-and-his-wonderful-lamp_973/index.html, http://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg
"Worlds Elsewhere: Journeys Around Shakespeareâs Globe", £40.30, http://books.toscrape.comworlds-elsewhere-journeys-around-shakespeares-globe_972/index.html, http://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg
"Wall and Piece", £44.18, http://books.toscrape.comwall-and-piece_971/index.html, http://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg
"The Four Agreements: A Practical Guide to Personal Freedom", £17.66, http://books.toscrape.comthe-four-agreements-a-practical-guide-to-personal-freedom_970/index.html, http://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg
"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate", £31.05, http://books.toscrape.comthe-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html, http://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg
"The Elephant Tree", £23.82, http://books.toscrape.comthe-elephant-tree_968/index.html, http://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg
"The Bear and the Piano", £36.89, http://books.toscrape.comthe-bear-and-the-piano_967/index.html, http://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg
"Sophie's World", £15.94, http://books.toscrape.comsophies-world_966/index.html, http://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg
"Penny Maybe", £33.29, http://books.toscrape.compenny-maybe_965/index.html, http://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg
"Maude (1883-1993):She Grew Up with the country", £18.02, http://books.toscrape.commaude-1883-1993she-grew-up-with-the-country_964/index.html, http://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg
"In a Dark, Dark Wood", £19.63, http://books.toscrape.comin-a-dark-dark-wood_963/index.html, http://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg
"Behind Closed Doors", £52.22, http://books.toscrape.combehind-closed-doors_962/index.html, http://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg
"You can't bury them all: Poems", £33.63, http://books.toscrape.comyou-cant-bury-them-all-poems_961/index.html, http://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg
"Slow States of Collapse: Poems", £57.31, http://books.toscrape.comslow-states-of-collapse-poems_960/index.html, http://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg
"Reasons to Stay Alive", £26.41, http://books.toscrape.comreasons-to-stay-alive_959/index.html, http://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg
"Private Paris (Private #10)", £47.61, http://books.toscrape.comprivate-paris-private-10_958/index.html, http://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg
"#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.", £23.11, http://books.toscrape.comhigherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html, http://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg
"Without Borders (Wanderlove #1)", £45.07, http://books.toscrape.comwithout-borders-wanderlove-1_956/index.html, http://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg
"When We Collided", £31.77, http://books.toscrape.comwhen-we-collided_955/index.html, http://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg
"We Love You, Charlie Freeman", £50.27, http://books.toscrape.comwe-love-you-charlie-freeman_954/index.html, http://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg
"Untitled Collection: Sabbath Poems 2014", £14.27, http://books.toscrape.comuntitled-collection-sabbath-poems-2014_953/index.html, http://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness", £44.18, http://books.toscrape.comunseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html, http://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg
"Unicorn Tracks", £18.78, http://books.toscrape.comunicorn-tracks_951/index.html, http://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink", £25.52, http://books.toscrape.comunbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html, http://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg
"Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)", £16.28, http://books.toscrape.comtsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html, http://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
"Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity", £31.12, http://books.toscrape.comthrowing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html, http://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg
"This One Summer", £19.49, http://books.toscrape.comthis-one-summer_947/index.html, http://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg
"Thirst", £17.27, http://books.toscrape.comthirst_946/index.html, http://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg
"The Torch Is Passed: A Harding Family Story", £19.09, http://books.toscrape.comthe-torch-is-passed-a-harding-family-story_945/index.html, http://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg
"The Secret of Dreadwillow Carse", £56.13, http://books.toscrape.comthe-secret-of-dreadwillow-carse_944/index.html, http://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!", £56.41, http://books.toscrape.comthe-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html, http://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg
"The Past Never Ends", £56.50, http://books.toscrape.comthe-past-never-ends_942/index.html, http://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg
"The Natural History of Us (The Fine Art of Pretending #2)", £45.22, http://books.toscrape.comthe-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html, http://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg
"The Nameless City (The Nameless City #1)", £38.16, http://books.toscrape.comthe-nameless-city-the-nameless-city-1_940/index.html, http://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
"The Murder That Never Was (Forensic Instincts #5)", £54.11, http://books.toscrape.comthe-murder-that-never-was-forensic-instincts-5_939/index.html, http://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg
"The Most Perfect Thing: Inside (and Outside) a Bird's Egg", £42.96, http://books.toscrape.comthe-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html, http://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy", £23.89, http://books.toscrape.comthe-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html, http://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing", £16.77, http://books.toscrape.comthe-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html, http://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer", £20.59, http://books.toscrape.comthe-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html, http://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg
"The Gutsy Girl: Escapades for Your Life of Epic Adventure", £37.13, http://books.toscrape.comthe-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html, http://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
"The Electric Pencil: Drawings from Inside State Hospital No. 3", £56.06, http://books.toscrape.comthe-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html, http://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
"The Death of Humanity: and the Case for Life", £58.11, http://books.toscrape.comthe-death-of-humanity-and-the-case-for-life_932/index.html, http://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life", £49.05, http://books.toscrape.comthe-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html, http://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
"The Art Forger", £40.76, http://books.toscrape.comthe-art-forger_930/index.html, http://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
"The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind", £19.73, http://books.toscrape.comthe-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html, http://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg
"The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution", £32.24, http://books.toscrape.comthe-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html, http://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
"Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up", £41.83, http://books.toscrape.comspark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html, http://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg
"Soul Reader", £39.58, http://books.toscrape.comsoul-reader_926/index.html, http://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg
"Security", £39.25, http://books.toscrape.comsecurity_925/index.html, http://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg
"Saga, Volume 6 (Saga (Collected Editions) #6)", £25.02, http://books.toscrape.comsaga-volume-6-saga-collected-editions-6_924/index.html, http://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)", £51.04, http://books.toscrape.comsaga-volume-5-saga-collected-editions-5_923/index.html, http://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
"Reskilling America: Learning to Labor in the Twenty-First Century", £19.83, http://books.toscrape.comreskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html, http://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)", £50.40, http://books.toscrape.comrat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html, http://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)", £13.61, http://books.toscrape.comprincess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html, http://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
"Princess Between Worlds (Wide-Awake Princess #5)", £13.34, http://books.toscrape.comprincess-between-worlds-wide-awake-princess-5_919/index.html, http://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg
"Pop Gun War, Volume 1: Gift", £18.97, http://books.toscrape.compop-gun-war-volume-1-gift_918/index.html, http://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics", £36.28, http://books.toscrape.compolitical-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html, http://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg
"Patience", £10.16, http://books.toscrape.compatience_916/index.html, http://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)", £15.44, http://books.toscrape.comoutcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html, http://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
"orange: The Complete Collection 1 (orange: The Complete Collection #1)", £48.41, http://books.toscrape.comorange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html, http://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
"Online Marketing for Busy Authors: A Step-By-Step Guide", £46.35, http://books.toscrape.comonline-marketing-for-busy-authors-a-step-by-step-guide_913/index.html, http://books.toscrape.com/media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg
"On a Midnight Clear", £14.07, http://books.toscrape.comon-a-midnight-clear_912/index.html, http://books.toscrape.com/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg
"Obsidian (Lux #1)", £14.86, http://books.toscrape.comobsidian-lux-1_911/index.html, http://books.toscrape.com/media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg
"My Paris Kitchen: Recipes and Stories", £33.37, http://books.toscrape.commy-paris-kitchen-recipes-and-stories_910/index.html, http://books.toscrape.com/media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg
"Masks and Shadows", £56.40, http://books.toscrape.commasks-and-shadows_909/index.html, http://books.toscrape.com/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed", £14.02, http://books.toscrape.commama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html, http://books.toscrape.com/media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)", £46.91, http://books.toscrape.comlumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html, http://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)", £45.61, http://books.toscrape.comlumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html, http://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
"Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)", £19.92, http://books.toscrape.comlumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html, http://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
